,premise,hypothesis,label,premise_fr,hypothesis_fr
236,three bikers stop in town.,Three bikers are going 100 mph,2,Trois cyclistes s'arrêtent en ville.,Trois cyclistes allent à 100 mph
237,three bikers stop in town.,The bikers breathe water,2,Trois cyclistes s'arrêtent en ville.,Les cyclistes respirent de l'eau
238,three bikers stop in town.,Bikers stop for gas,0,Trois cyclistes s'arrêtent en ville.,Les bailleurs de fonds arrêtent pour le gaz
239,three bikers stop in town.,Three bicyclists are riding in a pack.,1,Trois cyclistes s'arrêtent en ville.,Trois bicyclistes évoluent dans un pack.
240,three bikers stop in town.,There is a very angry dog.,2,Trois cyclistes s'arrêtent en ville.,Il y a un chien très en colère.
241,three bikers stop in town.,Three bikers are taking a rest in the town.,1,Trois cyclistes s'arrêtent en ville.,Trois cyclistes se reposent dans la ville.
242,three bikers stop in town.,The bikers are in the town.,0,Trois cyclistes s'arrêtent en ville.,Les cyclistes se trouvent dans la ville.
243,three bikers stop in town.,A group of bikers are in the street.,0,Trois cyclistes s'arrêtent en ville.,Un groupe de cyclistes se trouve dans la rue.
244,three bikers stop in town.,The bikers didn't stop in the town.,2,Trois cyclistes s'arrêtent en ville.,Les cyclistes ne se sont pas arrêtés dans la ville.
245,three bikers stop in town.,Five bikers are riding on the road.,2,Trois cyclistes s'arrêtent en ville.,Cinq motocyclistes roulent sur la route.
246,Two people loading brush on a trailer attached to a truck.,A man is carrying a canoe to the water.,2,Deux personnes chargées d'une remorque attachée à un camion.,Un homme transporte un canot à l'eau.
247,Two people loading brush on a trailer attached to a truck.,A couple of people are loading brush onto a trailer that is attached to a truck.,0,Deux personnes chargées d'une remorque attachée à un camion.,Quelques personnes chargent des brosses sur une remorque qui est attachée à un camion.
248,Two people loading brush on a trailer attached to a truck.,Two people loading brush on a trailer attached to a truck so they can go camping and burn it.,1,Deux personnes chargées d'une remorque attachée à un camion.,Deux personnes chargées d'une remorque attachée à un camion pour qu'elles puissent aller camping et la brûler.
249,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",a bearded man pulls a rope,0,"Un homme ayant une barbe, portant une chemise rouge avec des manches grises et des gants de travail, tirant sur une corde.",Un homme à l'arrière tirer une corde
250,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A bearded man is pulling a rope at work.,1,"Un homme ayant une barbe, portant une chemise rouge avec des manches grises et des gants de travail, tirant sur une corde.",Un homme à l'arrière tire une corde au travail.
251,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A man pulls on a rope.,0,"Un homme ayant une barbe, portant une chemise rouge avec des manches grises et des gants de travail, tirant sur une corde.",Un homme tire sur une corde.
252,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",The man was on the job trying to move some equipment.,1,"Un homme ayant une barbe, portant une chemise rouge avec des manches grises et des gants de travail, tirant sur une corde.",L'homme tentait de déplacer certains équipements.
253,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",a man pulls his beard,2,"Un homme ayant une barbe, portant une chemise rouge avec des manches grises et des gants de travail, tirant sur une corde.",un homme tire sa barbe
254,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",a bearded man is pulling a car with his teeth.,2,"Un homme ayant une barbe, portant une chemise rouge avec des manches grises et des gants de travail, tirant sur une corde.",Un homme à dents tire une voiture avec ses dents.
255,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",a man competes in a rope pulling contest,1,"Un homme ayant une barbe, portant une chemise rouge avec des manches grises et des gants de travail, tirant sur une corde.",Un homme est en compétition dans un concours de tir de cordes
256,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A man is trying to pull his car out of a lake,1,"Un homme ayant une barbe, portant une chemise rouge avec des manches grises et des gants de travail, tirant sur une corde.",Un homme tente de retirer sa voiture d'un lac
257,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",The man was clean shaven.,2,"Un homme ayant une barbe, portant une chemise rouge avec des manches grises et des gants de travail, tirant sur une corde.",L'homme a été rasé à proprement parler.
258,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A bearded man is pulling on a rope.,0,"Un homme ayant une barbe, portant une chemise rouge avec des manches grises et des gants de travail, tirant sur une corde.",Un homme à l'ourse tirera sur une corde.
259,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A man is dragging a sled behind him.,1,"Un homme ayant une barbe, portant une chemise rouge avec des manches grises et des gants de travail, tirant sur une corde.",Un homme traîne un traîneau derrière lui.
260,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.","A man in a swimsuit, swings on a rope.",2,"Un homme ayant une barbe, portant une chemise rouge avec des manches grises et des gants de travail, tirant sur une corde.","Un homme dans un vêtement de bain, swinge sur une corde."
261,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A man is wearing a black shirt,2,"Un homme ayant une barbe, portant une chemise rouge avec des manches grises et des gants de travail, tirant sur une corde.",Un homme porte une chemise noire
262,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A man is pulling on a rope.,0,"Un homme ayant une barbe, portant une chemise rouge avec des manches grises et des gants de travail, tirant sur une corde.",Un homme tire sur une corde.
263,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",The man is able to grow a beard.,0,"Un homme ayant une barbe, portant une chemise rouge avec des manches grises et des gants de travail, tirant sur une corde.",L'homme est en mesure de cultiver une barbe.
264,A man with facial hair and a red and gray shirt tugging on a piece of rope.,A man is naked on the bed.,2,Un homme ayant des cheveux facials et une chemise rouge et grise remorquant sur une corde.,Un homme est nu sur le lit.
265,A man with facial hair and a red and gray shirt tugging on a piece of rope.,A man is wearing a red and gray shirt.,1,Un homme ayant des cheveux facials et une chemise rouge et grise remorquant sur une corde.,Un homme porte une chemise rouge et grise.
266,A man with facial hair and a red and gray shirt tugging on a piece of rope.,A man has facial hair.,0,Un homme ayant des cheveux facials et une chemise rouge et grise remorquant sur une corde.,Un homme a des cheveux facials.
267,A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.,The middle aged oriental woman is watchingt v,2,"Une femme orientale d'âge moyen, en vert foulard et en chemise bleue, éclaire un gigantesque sourire.",La femme orientale d’âge moyen est à l’écoute v
268,A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.,A middle aged oriental woman in a green headscarf and blue shirt is flashing a giant smile,0,"Une femme orientale d'âge moyen, en vert foulard et en chemise bleue, éclaire un gigantesque sourire.",Une femme orientale d'âge moyen dans un foulard vert et une chemise bleue éclaire un gigantesque sourire
269,A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.,The middle aged oriental woman is very happy,1,"Une femme orientale d'âge moyen, en vert foulard et en chemise bleue, éclaire un gigantesque sourire.",La femme orientale d'âge moyen est très heureuse
270,An Asian woman in a blue top and green headscarf smiling widely as another woman rows a boat in the background.,An Asian woman is happy because she found money on the ground.,1,Une femme asiatique en somme bleue et en vert du foulard qui s'élevait largement à l'arrière-plan d'une autre femme en,Une femme asiatique est heureuse parce qu'elle a trouvé de l'argent sur le terrain.
271,An Asian woman in a blue top and green headscarf smiling widely as another woman rows a boat in the background.,An Asian woman is smiling at while another lady is rowing.,0,Une femme asiatique en somme bleue et en vert du foulard qui s'élevait largement à l'arrière-plan d'une autre femme en,Une femme asiatique sourit tandis qu'une autre femme se bat en arrière.
272,An Asian woman in a blue top and green headscarf smiling widely as another woman rows a boat in the background.,An Asian woman is running from a dog.,2,Une femme asiatique en somme bleue et en vert du foulard qui s'élevait largement à l'arrière-plan d'une autre femme en,Une femme asiatique est en train de courir à partir d'un chien.
273,A boat worker securing line.,A worker is doing something to a boat.,0,Un travailleur de bateau securing line.,Un travailleur fait quelque chose à un bateau.
274,A boat worker securing line.,The boat worker is swimming in the ocean.,2,Un travailleur de bateau securing line.,Le travailleur de bateau naît dans l'océan.
275,A boat worker securing line.,The boat worker works hard to establish the line.,1,Un travailleur de bateau securing line.,Le travailleur de bateau travaille fort pour établir la ligne.
276,A small girl with a necklace is swimming.,A small girl with a necklace is swimming in a pool,1,Une petite fille avec un collier naît.,Une petite fille avec un collier naît dans une piscine
277,A small girl with a necklace is swimming.,A fat girl is diving off the edge,2,Une petite fille avec un collier naît.,Une fille adipeuse plonge au bord
278,A small girl with a necklace is swimming.,A small girl with a necklace is in the water,0,Une petite fille avec un collier naît.,Une petite fille avec un collier est dans l'eau
279,a skateboarder skates in the pool.,A skate swims in the pool.,2,Un skateboarder patine dans la piscine.,Une patinoire naît dans la piscine.
280,a skateboarder skates in the pool.,A skater is in the pool.,0,Un skateboarder patine dans la piscine.,Un patineur est dans la piscine.
281,a skateboarder skates in the pool.,A skater grinds on the lip of the pool.,1,Un skateboarder patine dans la piscine.,Un patineur s'enfonce sur la lèvre de la piscine.
282,"A couple, who appear to be Indian or Pakistani, walk on a path beside a body of water, the mother carrying a child in a diaper, the father wrapped in a blanket with the logo of the humanitarian organization ""Save the Children.""",A man is wrapped in a UNICEF blanket.,2,"Un couple, qui semble être indiens ou pakistanais, marche sur un chemin à côté d'un corps d'eau, la mère transportant un enfant dans une couche, le père",Un homme est emballé dans une couverture de l'UNICEF.
283,"A couple, who appear to be Indian or Pakistani, walk on a path beside a body of water, the mother carrying a child in a diaper, the father wrapped in a blanket with the logo of the humanitarian organization ""Save the Children.""",A couple carrying a child are walking along water.,0,"Un couple, qui semble être indiens ou pakistanais, marche sur un chemin à côté d'un corps d'eau, la mère transportant un enfant dans une couche, le père",Un couple transportant un enfant marche le long de l'eau.
284,"A couple, who appear to be Indian or Pakistani, walk on a path beside a body of water, the mother carrying a child in a diaper, the father wrapped in a blanket with the logo of the humanitarian organization ""Save the Children.""",An Indian couple is seeking refuge with a humanitarian organization.,1,"Un couple, qui semble être indiens ou pakistanais, marche sur un chemin à côté d'un corps d'eau, la mère transportant un enfant dans une couche, le père",Un couple indiens cherche refuge auprès d'une organisation humanitaire.
285,"There is a woman holding a baby, along with a man with a save the children bag.",A group of people are possing for an add.,0,"Il y a une femme qui tient un bébé, accompagnée d'un homme avec un sac à sauver.",Un groupe de personnes posse un add-on.
286,"There is a woman holding a baby, along with a man with a save the children bag.",A man and a woman are hoding their son.,1,"Il y a une femme qui tient un bébé, accompagnée d'un homme avec un sac à sauver.",Un homme et une femme sont en train d'élever leur fils.
287,"There is a woman holding a baby, along with a man with a save the children bag.",A man is watching an airplane.,2,"Il y a une femme qui tient un bébé, accompagnée d'un homme avec un sac à sauver.",Un homme regarde un avion.
288,"A family with a baby, the father is wearing a save the children sign.",Three adults are pictured.,2,"Famille ayant un bébé, le père porte un signe de sauvegarde des enfants.",Trois adultes sont illustrés.
289,"A family with a baby, the father is wearing a save the children sign.",A man is wearing something with writing on it.,0,"Famille ayant un bébé, le père porte un signe de sauvegarde des enfants.",Un homme porte quelque chose en écrivant sur lui.
290,"A family with a baby, the father is wearing a save the children sign.",A woman is holding a baby.,1,"Famille ayant un bébé, le père porte un signe de sauvegarde des enfants.",Une femme tient un bébé.
291,A foreign family is walking along a dirt path next to the water.,they are riding a bike,2,Une famille étrangère marche le long d'un chemin de terre à côté de l'eau.,ils empruntent un vélo
292,A foreign family is walking along a dirt path next to the water.,People are walking next to a lake.,1,Une famille étrangère marche le long d'un chemin de terre à côté de l'eau.,Les gens marchent à proximité d'un lac.
293,A foreign family is walking along a dirt path next to the water.,A foreigner group of cousins hike along a trail next to a stream.,1,Une famille étrangère marche le long d'un chemin de terre à côté de l'eau.,Un groupe de cousins étrangers marche le long d'un sentier à côté d'un cours d'eau.
294,A foreign family is walking along a dirt path next to the water.,A foreign family walks by a dirt trail along a body of water.,0,Une famille étrangère marche le long d'un chemin de terre à côté de l'eau.,Une famille étrangère marche par un sentier de terre le long d'un corps d'eau.
295,A foreign family is walking along a dirt path next to the water.,The family is admiring the water,0,Une famille étrangère marche le long d'un chemin de terre à côté de l'eau.,La famille admire l'eau
296,A foreign family is walking along a dirt path next to the water.,The people are driving a car on the freeway.,2,Une famille étrangère marche le long d'un chemin de terre à côté de l'eau.,Les gens conduisent une voiture sur la autoroute.
297,A foreign family is walking along a dirt path next to the water.,A family of foreigners swims in the water.,2,Une famille étrangère marche le long d'un chemin de terre à côté de l'eau.,Une famille d'étrangers nage dans l'eau.
298,A foreign family is walking along a dirt path next to the water.,they are trying not to fall in the water,1,Une famille étrangère marche le long d'un chemin de terre à côté de l'eau.,Ils essaient de ne pas tomber dans l’eau
299,A foreign family is walking along a dirt path next to the water.,A group of locals run on a dirt trail next to a frozen stream.,2,Une famille étrangère marche le long d'un chemin de terre à côté de l'eau.,Un groupe de localistes emprunte un sentier de terre à côté d'un cours d'eau gelé.
300,A foreign family is walking along a dirt path next to the water.,A family of foreigners walks by the water.,0,Une famille étrangère marche le long d'un chemin de terre à côté de l'eau.,Une famille d'étrangers marche par l'eau.
301,A foreign family is walking along a dirt path next to the water.,A family walks along a dirt path.,0,Une famille étrangère marche le long d'un chemin de terre à côté de l'eau.,Une famille marche sur un chemin de terre.
302,A foreign family is walking along a dirt path next to the water.,A family plays board games at their dinner table.,2,Une famille étrangère marche le long d'un chemin de terre à côté de l'eau.,Une famille joue des jeux de conseil à sa table de dîner.
303,A foreign family is walking along a dirt path next to the water.,There is a family taking a walk outside.,0,Une famille étrangère marche le long d'un chemin de terre à côté de l'eau.,Il y a une famille qui marche à l'extérieur.
304,A foreign family is walking along a dirt path next to the water.,A family walks along a dirt path in a forest by a pond.,1,Une famille étrangère marche le long d'un chemin de terre à côté de l'eau.,Une famille marche sur un chemin de terre dans une forêt par un étang.
305,A foreign family is walking along a dirt path next to the water.,A family of foreigners walks by the lake.,1,Une famille étrangère marche le long d'un chemin de terre à côté de l'eau.,Une famille d'étrangers promène par le lac.
306,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",People are looking at sculptures at a museum.,0,"Un homme et une femme se trouvent à côté des sculptures, parlant alors qu'un autre homme regarde d'autres sculptures.",Les gens regardent des sculptures dans un musée.
307,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",There are people next to sculptures.,0,"Un homme et une femme se trouvent à côté des sculptures, parlant alors qu'un autre homme regarde d'autres sculptures.",Il y a des gens à côté des sculptures.
308,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",A man and a woman are happily standing.,1,"Un homme et une femme se trouvent à côté des sculptures, parlant alors qu'un autre homme regarde d'autres sculptures.",Un homme et une femme se trouvent heureux debout.
309,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",People standing near sculptures,0,"Un homme et une femme se trouvent à côté des sculptures, parlant alors qu'un autre homme regarde d'autres sculptures.",Personnes à proximité de sculptures
310,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",Three people are looking at painting at a school fair.,2,"Un homme et une femme se trouvent à côté des sculptures, parlant alors qu'un autre homme regarde d'autres sculptures.",Trois personnes envisagent la peinture à une foire scolaire.
311,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",Nobody is standing.,2,"Un homme et une femme se trouvent à côté des sculptures, parlant alors qu'un autre homme regarde d'autres sculptures.",Personne ne se tient.
312,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",The sculptures are a recent creation.,1,"Un homme et une femme se trouvent à côté des sculptures, parlant alors qu'un autre homme regarde d'autres sculptures.",Les sculptures sont une création récente.
313,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",A man and a woman are standing.,0,"Un homme et une femme se trouvent à côté des sculptures, parlant alors qu'un autre homme regarde d'autres sculptures.",Un homme et une femme sont debout.
314,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",Tall people standing,1,"Un homme et une femme se trouvent à côté des sculptures, parlant alors qu'un autre homme regarde d'autres sculptures.",Personnes debout
315,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",The is a single sculpture.,2,"Un homme et une femme se trouvent à côté des sculptures, parlant alors qu'un autre homme regarde d'autres sculptures.",Il s'agit d'une seule sculpture.
316,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",The man and woman are standing by a swimming pool.,2,"Un homme et une femme se trouvent à côté des sculptures, parlant alors qu'un autre homme regarde d'autres sculptures.",L'homme et la femme se trouvent à la piscine.
317,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",People are looking at scultures that were made by a famous artist.,1,"Un homme et une femme se trouvent à côté des sculptures, parlant alors qu'un autre homme regarde d'autres sculptures.",Les gens examinent les scultures fabriquées par un artiste célèbre.
318,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",There are sculptures of people.,1,"Un homme et une femme se trouvent à côté des sculptures, parlant alors qu'un autre homme regarde d'autres sculptures.",Il y a des sculptures de personnes.
319,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",There are scultupres nearby.,0,"Un homme et une femme se trouvent à côté des sculptures, parlant alors qu'un autre homme regarde d'autres sculptures.",Il y a des scultupres près.
320,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",A man and a woman are sitting.,2,"Un homme et une femme se trouvent à côté des sculptures, parlant alors qu'un autre homme regarde d'autres sculptures.",Un homme et une femme sont assis.
321,Group of young women in dresses strolling on the sidewalk.,all the women are well dressed,1,Groupe de jeunes femmes en robes promenant sur le trottoir.,Toutes les femmes sont bien habillées
322,Group of young women in dresses strolling on the sidewalk.,all the young girls won the first prize,2,Groupe de jeunes femmes en robes promenant sur le trottoir.,toutes les jeunes filles ont remporté le premier prix
323,Group of young women in dresses strolling on the sidewalk.,there are some groups one of them of young females are in dresses strolling for a ramp walk,0,Groupe de jeunes femmes en robes promenant sur le trottoir.,Il y a certains groupes d'une d'entre elles de jeunes femmes sont en robes promenade pour une rampe
324,A man wearing a striped top and jeans does a skateboard trick on some steps while a man who is hunched over photographs him.,a man is photographing a man skateboarding.,0,"Un homme portant un dessus rayé et un jeans fait un truc de skateboard sur quelques marches, tandis qu'un homme qui s'enfonce sur des photographies l",un homme photographie un homme en skateboarding.
325,A man wearing a striped top and jeans does a skateboard trick on some steps while a man who is hunched over photographs him.,a man is riding his scooter alone,2,"Un homme portant un dessus rayé et un jeans fait un truc de skateboard sur quelques marches, tandis qu'un homme qui s'enfonce sur des photographies l",un homme emprunte son scooter seul
326,A man wearing a striped top and jeans does a skateboard trick on some steps while a man who is hunched over photographs him.,tony hawks manager is photographing tony hawk skateboarding,1,"Un homme portant un dessus rayé et un jeans fait un truc de skateboard sur quelques marches, tandis qu'un homme qui s'enfonce sur des photographies l",Le gestionnaire de tony hawks photographie la patinoire de tony hawk
327,A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,A man is taking the picture of a skateboarder who is being taken by aliens.,2,Un homme qui s'agit d'une photographie en prenant une photographie de sa propre photographie d'un homme qui fait une knie de skateboarding en milieu d'air,Un homme prend l'image d'un skateboarder qui est pris par des étrangers.
328,A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,Photographers capture a male skateboarder performing tricks inside an abandoned building.,2,Un homme qui s'agit d'une photographie en prenant une photographie de sa propre photographie d'un homme qui fait une knie de skateboarding en milieu d'air,Les photographes capturent un skateboarder mâle qui joue des trucs dans un bâtiment abandonné.
329,A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,A woman is skateboarding with her boyfriend.,2,Un homme qui s'agit d'une photographie en prenant une photographie de sa propre photographie d'un homme qui fait une knie de skateboarding en milieu d'air,Une femme est en skateboard avec son ami.
330,A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,A man is taking the picture of a skateboarder who is performing a trick.,0,Un homme qui s'agit d'une photographie en prenant une photographie de sa propre photographie d'un homme qui fait une knie de skateboarding en milieu d'air,Un homme prend l'image d'un skateboarder qui joue un truc.
331,A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,A man photographs a wedding.,2,Un homme qui s'agit d'une photographie en prenant une photographie de sa propre photographie d'un homme qui fait une knie de skateboarding en milieu d'air,Un homme photographie un mariage.
332,A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,A man is taking photos of his son doing tricks on the skateboard.,1,Un homme qui s'agit d'une photographie en prenant une photographie de sa propre photographie d'un homme qui fait une knie de skateboarding en milieu d'air,Un homme prend des photos de son fils faisant des trucs sur le skateboard.
333,A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,A man photographs Tony Hawk skateboarding.,1,Un homme qui s'agit d'une photographie en prenant une photographie de sa propre photographie d'un homme qui fait une knie de skateboarding en milieu d'air,Un homme photographie Tony Hawk skateboarding.
334,A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,A man is taking photos of skateboarding tricks.,0,Un homme qui s'agit d'une photographie en prenant une photographie de sa propre photographie d'un homme qui fait une knie de skateboarding en milieu d'air,Un homme prend des photos de trucs de skateboarding.
335,A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,People take photos outdoors while a man performs exciting skateboarding tricks.,0,Un homme qui s'agit d'une photographie en prenant une photographie de sa propre photographie d'un homme qui fait une knie de skateboarding en milieu d'air,Les gens prennent des photos à l'extérieur tandis qu'un homme réalise des trucs de skateboarding passionnants.
336,A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,A man is photographing another man.,0,Un homme qui s'agit d'une photographie en prenant une photographie de sa propre photographie d'un homme qui fait une knie de skateboarding en milieu d'air,Un homme photographie un autre homme.
337,A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,A pro photographer is taking pictures of a pro skater.,1,Un homme qui s'agit d'une photographie en prenant une photographie de sa propre photographie d'un homme qui fait une knie de skateboarding en milieu d'air,Un photographe pro prend des photos d'un patineur pro.
338,A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,Two men are going down a water slide.,2,Un homme qui s'agit d'une photographie en prenant une photographie de sa propre photographie d'un homme qui fait une knie de skateboarding en milieu d'air,Deux hommes descendent sur une glissière d'eau.
339,A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,A man photographs a skateboarder doing tricks.,0,Un homme qui s'agit d'une photographie en prenant une photographie de sa propre photographie d'un homme qui fait une knie de skateboarding en milieu d'air,Un homme photographie un skateboarder faisant des trucs.
340,A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,A man tries to get the perfect picture of a skateboarder for a magazine.,1,Un homme qui s'agit d'une photographie en prenant une photographie de sa propre photographie d'un homme qui fait une knie de skateboarding en milieu d'air,Un homme tente d'obtenir l'image parfaite d'un skateboarder pour un magazine.
341,A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,A male skateboarder performs tricks outdoors for professional photographers.,1,Un homme qui s'agit d'une photographie en prenant une photographie de sa propre photographie d'un homme qui fait une knie de skateboarding en milieu d'air,Un skateboarder masculin joue des trucs à l'extérieur pour les photographes professionnels.
342,One biker is running with their bike while another is riding around them.,The people are driving cars,2,"Un cycliste roule avec son vélo, tandis que l'autre roule autour de lui.",Les gens conduisent des voitures
343,One biker is running with their bike while another is riding around them.,The people are part of a club,1,"Un cycliste roule avec son vélo, tandis que l'autre roule autour de lui.",Les gens font partie d'un club
344,One biker is running with their bike while another is riding around them.,People have bikes,0,"Un cycliste roule avec son vélo, tandis que l'autre roule autour de lui.",Les gens ont des vélos
345,"Two people with bicycles, one in front running with a bike and one in back riding.",Two people eating ice cream cones at the mall.,2,"Deux personnes ayant des vélos, l'une en marche à l'avant avec un vélo et l'autre en marche à l'arrière.",Deux personnes mangent des cônes de glace au centre commercial.
346,"Two people with bicycles, one in front running with a bike and one in back riding.",Two people taking their bikes to the trail.,1,"Deux personnes ayant des vélos, l'une en marche à l'avant avec un vélo et l'autre en marche à l'arrière.",Deux personnes prenant leurs vélos sur le sentier.
347,"Two people with bicycles, one in front running with a bike and one in back riding.",One person running next to their bike with the person riding their bike behind them.,0,"Deux personnes ayant des vélos, l'une en marche à l'avant avec un vélo et l'autre en marche à l'arrière.",Une personne qui se déplace à côté de son vélo et la personne qui se déplace derrière lui.
348,A young man doing a trick on a skateboard down the stairs while being photographed.,A young man roller blades across a ramp while being photographed.,2,Un jeune homme qui fait un truc sur un skateboard en descendant sur les escaliers pendant qu'il est photographié.,Les lames de rouleaux d'un jeune homme traversent une rampe en photographiant.
349,A young man doing a trick on a skateboard down the stairs while being photographed.,A helmet-less young man does a trick on a skateboard while being photographed.,1,Un jeune homme qui fait un truc sur un skateboard en descendant sur les escaliers pendant qu'il est photographié.,Un jeune homme sans casque fait un truc sur un skateboard alors qu'il est photographié.
350,A young man doing a trick on a skateboard down the stairs while being photographed.,A man being photographed while he does a trick on his skateboard down the stairs.,0,Un jeune homme qui fait un truc sur un skateboard en descendant sur les escaliers pendant qu'il est photographié.,Un homme qui est photographié pendant qu'il fait un truc sur son patinoire en descendant sur les escaliers.
351,"A lady in a black and white striped shirt and holding a bouquet of flowers, looks seriously at two gentlemen talking on the steps.",A lady is about to propose to her boyfriend.,1,Une femme dans une chemise noire et blanche rayée et holding un bouquet de fleurs regarde sérieusement deux gentlemen talking on the steps.,Une femme est sur le point de proposer à son ami.
352,"A lady in a black and white striped shirt and holding a bouquet of flowers, looks seriously at two gentlemen talking on the steps.",A lady with a serious face is standing with two guys in front of steps outside.,0,Une femme dans une chemise noire et blanche rayée et holding un bouquet de fleurs regarde sérieusement deux gentlemen talking on the steps.,Une femme ayant un visage sérieux se tient avec deux hommes devant des marches à l'extérieur.
353,"A lady in a black and white striped shirt and holding a bouquet of flowers, looks seriously at two gentlemen talking on the steps.",Three guys are standing indoors with flowers in their hands.,2,Une femme dans une chemise noire et blanche rayée et holding un bouquet de fleurs regarde sérieusement deux gentlemen talking on the steps.,Trois garçons se trouvent à l'intérieur et fleurissent dans leurs mains.
354,A man walking proudly down the street.,The man is in the theatre watching Avatar.,2,Un homme qui marche fièrement dans la rue.,L'homme est en théâtre et regarde Avatar.
355,A man walking proudly down the street.,The man is part of the gay pride parade.,1,Un homme qui marche fièrement dans la rue.,L'homme fait partie de la parade de fierté gay.
356,A man walking proudly down the street.,A man is outside.,0,Un homme qui marche fièrement dans la rue.,Un homme est à l'extérieur.
357,Four teenage boys are doing cannonballs into a swimming pool.,Four friends are having a competition to see who throws the most water out of a pool.,1,Quatre garçons adolescents font des canonballs dans une piscine.,Quatre amis participent à un concours pour voir qui jette le plus d'eau dans une piscine.
358,Four teenage boys are doing cannonballs into a swimming pool.,A group of young men are splashing a lot of water.,0,Quatre garçons adolescents font des canonballs dans une piscine.,Un groupe de jeunes hommes plongent beaucoup d'eau.
359,Four teenage boys are doing cannonballs into a swimming pool.,Some boys are eating pizza in a restaurant.,2,Quatre garçons adolescents font des canonballs dans une piscine.,Certains garçons mangent de la pizza dans un restaurant.
360,Three men standing on grass by the water looking at something on a table.,The three men are by the lake.,1,Trois hommes qui se trouvent sur l'herbe par l'eau et regardent quelque chose sur une table.,Les trois hommes sont par le lac.
